time_received_ns,sequence_num,sampling_rate,sampler_address,frame_length,src_mac,dst_mac,ethernet_type,ethernet_length,src_addr,dst_addr,ip_header_len,ip_tos,ip_ttl,ip_flags,ip_len,ip_proto_no,ip_checksum,fragment_offset,more_fragments,protocol,udp_header_len,tcp_header_len,tcp_ack_no,tcp_seq_no,window_size,src_port,dst_port,tcp_flags,tcp_flags_named,icmp_type,icmp_code,icmp_type_code_name,icmp_id,icmp_seq,payload,in_if,out_if,layer_stack,layer_size,vlan_id,is_fragment,dns_answers,dns_questions,dns_authorities,dns_additionals,esp_seq,esp_spi,gre_version,gre_protocol,gre_protocol_named,gre_checksum,gre_seq_no,gre_ack_no,gre_checksum_present,gre_key_present,gre_key,gre_seq_present,gre_ack_present,gre_routing_present,gre_strict_source_route,gre_recursion_control,gre_flags,gre_offset,src_asn,dst_asn,src_latitude,src_longitude,dst_latitude,dst_longitude,src_city,src_country,dst_city,dst_country,src_continent,dst_continent
1783018858560714488,16257101,1000,104.86.64.82,78,08:c0:eb:50:97:a5,b0:a6:51:ff:d8:e7,IPv4,14,183.36.24.8,141.92.164.1,20,0,52,2,64,6,26324,0,0,TCP,0,44,3000395971,3190145179,218,46811,53,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 16]",['ACK'],0,0,,0,0,07/02/26 19:00:58.56071448 0 B0 A6 51 FF D8 E7 08 C0 EB 50 97 A5 08 00 45 00 00 40 DF 59 40 00 34 06 66 D4 B7 24 18 08 8D 5C A4 01 B6 DB 00 35 BE 25 C0 9B B2 D6 68 C3 B0 10 00 DA 13 F7 00 00 01 01 08 0A 02 72 22 89 34 A7 49 09 01 01 05 0A B2 D6 68 C2 B2 D6 68 C3 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 44]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,4134,49758,23.12,113.25,51.5,-0.12,GUANGZHOU,CN,LONDON,GB,AS,EU
1783018864457621937,668294900,1000,104.86.67.82,74,b8:ce:f6:5e:f4:c3,94:ae:f0:ef:fc:e7,IPv4,14,193.113.8.3,141.92.164.1,20,0,49,0,60,6,27470,0,0,TCP,0,40,0,3573230489,64240,20392,53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",['SYN'],0,0,,0,0,07/02/26 19:01:04.45762193 0 94 AE F0 EF FC E7 B8 CE F6 5E F4 C3 08 00 45 00 00 3C 23 9C 00 00 31 06 6B 4E C1 71 08 03 8D 5C A4 01 4F A8 00 35 D4 FB 2B 99 00 00 00 00 A0 02 FA F0 FF 47 00 00 02 04 05 B4 04 02 08 0A 2B 5D D7 25 00 00 00 00 01 03 03 07 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 40]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,2856,49758,53.62,-2.15,51.5,-0.12,ROCHDALE,GB,LONDON,GB,EU,EU
1783018934136817264,668325598,1000,104.86.67.82,119,0c:42:a1:d9:d0:87,94:ae:f0:ef:fc:e7,IPv4,14,51.104.11.43,141.92.164.1,20,0,119,0,105,17,43892,0,0,UDP,8,0,0,0,0,57785,53,[],[],0,0,,0,0,07/02/26 19:02:14.13681726 0 94 AE F0 EF FC E7 0C 42 A1 D9 D0 87 08 00 45 00 00 69 28 1F 00 00 77 11 AB 74 33 68 0B 2B 8D 5C A4 01 E1 B9 00 35 00 55 28 2C 1E FA 00 00 00 01 00 00 00 00 00 01 13 6E 67 63 63 2D 74 73 61 70 69 33 2D 70 72 65 70 72 6F 64 04 74 65 73 74 05 67 73 6C 62 74 0D 6C 6C 6F 79 64 73 62 61 6E 6B 69 6E 67 03 63 6F 6D 00 00 1C 00 01 00 00 29 04 C8 00 00 80 00 00 00 00,0,1,"['Ethernet', 'IPv4', 'UDP', 'DNS']","[14, 20, 8, 77]",0,False,[],['ngcc-tsapi3-preprod.test.gslbt.lloydsbanking.com AAAA IN'],[],['OPT '],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,8075,49758,51.5,-0.12,51.5,-0.12,LONDON,GB,LONDON,GB,EU,EU
1783018954562163289,516713616,1000,2.21.120.82,74,10:70:fd:5a:09:3d,3c:fe:ac:3b:dc:e7,IPv4,14,172.69.82.59,141.92.164.1,20,0,60,2,60,6,45763,0,0,TCP,0,40,0,1666816170,65535,59448,53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",['SYN'],0,0,,0,0,07/02/26 19:02:34.56216328 0 3C FE AC 3B DC E7 10 70 FD 5A 09 3D 08 00 45 00 00 3C 5C 1A 40 00 3C 06 B2 C3 AC 45 52 3B 8D 5C A4 01 E8 38 00 35 63 59 98 AA 00 00 00 00 A0 02 FF FF ED 8A 00 00 02 04 05 B4 04 02 08 0A 50 19 F6 05 00 00 00 00 01 03 03 0D 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 40]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,13335,49758,1.29,103.86,51.5,-0.12,SINGAPORE,SG,LONDON,GB,AS,EU
1783018993916518003,350010721,1000,2.21.123.50,74,b8:3f:d2:c0:16:c3,3c:fe:ac:4d:d0:e8,IPv4,14,139.144.100.31,141.92.164.1,20,0,58,0,60,6,43680,0,0,TCP,0,40,0,2243949635,32120,56217,53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",['SYN'],0,0,,0,0,07/02/26 19:03:13.916518 0 3C FE AC 4D D0 E8 B8 3F D2 C0 16 C3 08 00 45 00 00 3C B5 0E 00 00 3A 06 AA A0 8B 90 64 1F 8D 5C A4 01 DB 99 00 35 85 BF F4 43 00 00 00 00 A0 02 7D 78 39 10 00 00 02 04 05 B4 04 02 08 0A 11 93 09 05 00 00 00 00 01 03 03 07 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 40]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,63949,49758,-33.88,151.22,51.5,-0.12,SYDNEY,AU,LONDON,GB,OC,EU
1783019016622154319,580989786,1000,2.21.124.82,74,b8:3f:d2:03:6c:ff,3c:fe:ac:3f:50:e2,IPv4,14,74.125.40.157,141.92.164.1,20,0,117,0,60,6,29616,0,0,TCP,0,40,0,4276130993,64952,60975,53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",['SYN'],0,0,,0,0,07/02/26 19:03:36.62215431 0 3C FE AC 3F 50 E2 B8 3F D2 03 6C FF 08 00 45 00 00 3C 2D 94 00 00 75 06 73 B0 4A 7D 28 9D 8D 5C A4 01 EE 2F 00 35 FE E0 94 B1 00 00 00 00 A0 02 FD B8 80 79 00 00 02 04 05 84 04 02 08 0A 44 90 5F 04 00 00 00 00 01 03 03 01 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 40]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,15169,49758,51.5,-0.12,51.5,-0.12,LONDON,GB,LONDON,GB,EU,EU
1783019036119153176,478953789,1000,2.23.128.50,66,b8:3f:d2:bd:7c:bf,3c:fe:ac:3f:28:e7,IPv4,14,172.70.132.60,141.92.164.1,20,0,60,2,52,6,27243,0,0,TCP,0,32,647016501,3092160500,16,19928,53,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 16]",['ACK'],0,0,,0,0,07/02/26 19:03:56.11915317 0 3C FE AC 3F 28 E7 B8 3F D2 BD 7C BF 08 00 45 00 00 34 72 78 40 00 3C 06 6A 6B AC 46 84 3C 8D 5C A4 01 4D D8 00 35 B8 4E 9F F4 26 90 B0 35 80 10 00 10 10 39 00 00 01 01 08 0A 24 9B 8D 62 37 5D 9E 22 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 32]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,13335,49758,48.87,2.33,51.5,-0.12,PARIS,FR,LONDON,GB,EU,EU
1783019038560612418,55850831,1000,2.21.113.48,60,b8:3f:d2:c0:15:1f,bc:2c:e6:db:64:ed,IPv4,14,172.64.216.17,141.92.164.1,20,0,59,2,40,6,44364,0,0,TCP,0,20,467885852,1139128890,65535,21692,53,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 16]",['ACK'],0,0,,0,0,07/02/26 19:03:58.56061241 0 BC 2C E6 DB 64 ED B8 3F D2 C0 15 1F 08 00 45 00 00 28 DC D3 40 00 3B 06 AD 4C AC 40 D8 11 8D 5C A4 01 54 BC 00 35 43 E5 BA 3A 1B E3 5F 1C 50 10 FF FF 2C 14 00 00 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 20]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,13335,49758,33.9733,-118.2487,51.5,-0.12,LOSANGELES,US,LONDON,GB,NA,EU
1783019053060866976,478958510,1000,2.23.128.50,125,b8:3f:d2:d9:2a:19,3c:fe:ac:3f:28:e7,IPv4,14,141.101.96.161,141.92.164.1,20,0,60,2,111,17,8940,0,0,UDP,8,0,0,0,0,11351,53,[],[],0,0,,0,0,07/02/26 19:04:13.06086697 0 3C FE AC 3F 28 E7 B8 3F D2 D9 2A 19 08 00 45 00 00 6F FC 2D 40 00 3C 11 22 EC 8D 65 60 A1 8D 5C A4 01 2C 57 00 35 00 5B E5 05 F2 BA 00 00 00 01 00 00 00 00 00 01 10 70 75 74 30 34 2D 64 74 70 2D 6F 6E 6C 69 6E 65 07 64 69 67 69 74 61 6C 0C 6C 62 67 6C 7A 6F 72 69 67 69 6E 74 0A 6C 6C 6F 79 64 73 62 61 6E 6B 02 63 6F 02 75 6B 00 00 01 00 01 00 00 29 05 AC 00 00 80 00 00 00 00 00 00,0,1,"['Ethernet', 'IPv4', 'UDP', 'DNS']","[14, 20, 8, 83]",0,False,[],['put04-dtp-online.digital.lbglzorigint.lloydsbank.co.uk A IN'],[],['OPT '],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,13335,49758,48.87,2.33,51.5,-0.12,PARIS,FR,LONDON,GB,EU,EU
1783019053640658398,478958688,1000,2.23.128.50,74,b8:3f:d2:c0:42:bb,3c:fe:ac:3f:28:e7,IPv4,14,172.71.117.185,141.92.164.1,20,0,60,2,60,6,53194,0,0,TCP,0,40,0,2480190379,65535,38410,53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",['SYN'],0,0,,0,0,07/02/26 19:04:13.64065839 0 3C FE AC 3F 28 E7 B8 3F D2 C0 42 BB 08 00 45 00 00 3C 1B 93 40 00 3C 06 CF CA AC 47 75 B9 8D 5C A4 01 96 0A 00 35 93 D4 B3 AB 00 00 00 00 A0 02 FF FF 4C 36 00 00 02 04 05 B4 04 02 08 0A A5 FC 24 A9 00 00 00 00 01 03 03 0D 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 40]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,13335,49758,48.87,2.33,51.5,-0.12,PARIS,FR,LONDON,GB,EU,EU
